symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,market_data_source,kline_source,quote_source,quote_source_status,quote_cross_check_basis,quote_cross_check_price,quote_cross_check_gap_pct,data_source_mismatch,data_source_mismatch_reason,latest_price,prev_close,intraday_pct_chg,pe_ttm,roe,dividend_yield,raw_market_score,market_score,market_rule_flags,market_rule_adjustment,catalyst_score,ticket_score,lifecycle_stage,research_only,allow_trade,auto_order,no_broker_api,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,closing_strength_5d,volume_weighted_momentum,risk_penalty,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,risk_allowed,risk_block_reason,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,risk_confidence,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
MRNA,Moderna Inc,eastmoney_us,moderna,1,3,2026-06-22,59.345,59.345,8363486.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,59.345,0.0,False,ok,59.345,63.96,-0.07215447154471544,3.18,-16.73,-86.67,0.7097003745318352,0.7665641613406367,,0.0,0.525,1.3115641613406366,paper_review_candidate,True,False,False,True,0.18904027249048294,0.2557130765975455,-0.06667280410706256,0.17172125175234432,1.6932672054489761,286587358.99,0.6390387983896992,0.4587835076394849,0.0,True,0.95,found_relevant,1,0,10,Moderna Stock’s 6-Day Rally Ends in a Dive. Why It’s One of the S&P 500’s Biggest Losers Today.,0.0,0.95,matched company term 'moderna' with narrative context 'stock',found_relevant,1,0,10,Moderna just got a signal investors can’t ignore,0.0,0.95,matched company term 'moderna' with business context 'demand',MRNA moderna stock catalyst earnings news,124,MRNA moderna orders demand backlog guidance revenue customer contract,124,Moderna Stock’s 6-Day Rally Ends in a Dive. Why It’s One of the S&P 500’s Biggest Losers Today.; Moderna just got a signal investors can’t ignore,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_relevant; quality=MODERATE; risk=WATCH; panel=BULLISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,57.61841657,62.798166859999995,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=Moderna Stock’s 6-Day Rally Ends in a Dive. Why It’s One of the S&P 500’s Biggest Losers Today. | matched company term 'moderna' with narrative context 'stock'; business=Moderna just got a signal investors can’t ignore | matched company term 'moderna' with business context 'demand'
STX,希捷科技,eastmoney_us,希捷科技,2,1,2026-06-22,1094.04,1094.04,6875925.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,1094.04,0.0,False,ok,1094.04,1070.23,0.022247554264036573,224.03,588.79,33.33,1.1124868710825004,0.7938589656240109,,0.0,0.425,1.268858965624011,paper_review_candidate,True,False,False,True,0.17507303660422746,0.3499000567578905,-0.17482702015366303,0.2659082319126893,1.264873755801918,2940904896.08,0.38945666948432767,0.5592894722350429,0.15,True,0.75,found_relevant,1,0,10,"Buy, Hold, or Sell: Wall Street Fears Tech Compression, but This AI Storage Monster Has a Hidden Weapon",0.0,0.75,matched ticker boundary 'STX' with narrative context 'stock',found_relevant,1,0,10,The Billionaire Who Called the 2008 Bubble Just Dumped Google to Buy These 5 AI Hardware Stocks,0.0,0.75,matched ticker boundary 'STX' with business context 'quarter',STX 希捷科技 stock catalyst earnings news,124,STX 希捷科技 orders demand backlog guidance revenue customer contract,124,"Buy, Hold, or Sell: Wall Street Fears Tech Compression, but This AI Storage Monster Has a Hidden Weapon; The Billionaire Who Called the 2008 Bubble Just Dumped Google to Buy These 5 AI Hardware Stocks",Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,REVERSAL_OVERRIDE,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_relevant; quality=STRONG; risk=ELEVATED; panel=BEARISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,1062.21000024,1157.69999952,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,"narrative=Buy, Hold, or Sell: Wall Street Fears Tech Compression, but This AI Storage Monster Has a Hidden Weapon | matched ticker boundary 'STX' with narrative context 'stock'; business=The Billionaire Who Called the 2008 Bubble Just Dumped Google to Buy These 5 AI Hardware Stocks | matched ticker boundary 'STX' with business context 'quarter'"
GE,GE航空航天,eastmoney_us,ge,3,5,2026-06-22,355.12,355.12,5426662.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,355.12,0.0,False,ok,355.12,357.64,-0.007046191701151949,20.52,10.37,0.0,0.5852720079129572,0.6806551494550439,,0.0,0.525,1.225655149455044,paper_review_candidate,True,False,False,True,0.059111243662391955,0.17682926829268308,-0.11771802463029113,0.0928374434474819,0.3271229120157162,1526535902.34,0.32807946154237755,0.20533124001121714,0.0,True,0.95,found_relevant,1,0,10,"GE Vernova Stock Raised The Bar, Now It Has To Prove It",0.0,0.95,matched company term 'GE航空航天' with narrative context 'stock',found_relevant,1,0,10,Is GE Stock's Large Backlog Enough To Out-Fly a Slowdown?,0.0,0.95,matched company term 'GE航空航天' with business context 'backlog',GE ge stock catalyst earnings news,124,GE ge orders demand backlog guidance revenue customer contract,124,"GE Vernova Stock Raised The Bar, Now It Has To Prove It; Is GE Stock's Large Backlog Enough To Out-Fly a Slowdown?",Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_relevant; quality=MODERATE; risk=WATCH; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,344.78813872,375.78372256,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,"narrative=GE Vernova Stock Raised The Bar, Now It Has To Prove It | matched company term 'GE航空航天' with narrative context 'stock'; business=Is GE Stock's Large Backlog Enough To Out-Fly a Slowdown? | matched company term 'GE航空航天' with business context 'backlog'"
TECH,Bio-Techne Corp,eastmoney_us,bio techne,4,6,2026-06-22,55.61,55.61,2034829.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,55.61,0.0,False,ok,55.61,57.94,-0.0402140144977563,4.18,6.36,-33.33,0.4848387096774193,0.5910060559261221,,0.0,0.525,1.166006055926122,paper_review_candidate,True,False,False,True,0.02981481481481474,0.17394975723031458,-0.14413494241549984,0.0899579323851134,0.05605570699605322,138601191.0,0.46911453786172475,0.16196854920423354,0.0,True,0.95,found_relevant,1,0,10,Bio-Techne (TECH) Stock Valuation After New Refeyn Bispecific Antibody Analysis Collaboration,0.0,0.95,matched company term 'bio techne' with narrative context 'stock',found_relevant,1,0,10,3 Reasons TECH is Risky and 1 Stock to Buy Instead,0.0,0.95,matched company term 'bio techne' with business context 'results',TECH bio techne stock catalyst earnings news,124,TECH bio techne orders demand backlog guidance revenue customer contract,124,Bio-Techne (TECH) Stock Valuation After New Refeyn Bispecific Antibody Analysis Collaboration; 3 Reasons TECH is Risky and 1 Stock to Buy Instead,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_relevant; quality=STRONG; risk=WATCH; panel=BULLISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,53.99208266,58.845834679999996,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=Bio-Techne (TECH) Stock Valuation After New Refeyn Bispecific Antibody Analysis Collaboration | matched company term 'bio techne' with narrative context 'stock'; business=3 Reasons TECH is Risky and 1 Stock to Buy Instead | matched company term 'bio techne' with business context 'results'
TER,泰瑞达,eastmoney_us,泰瑞达,5,2,2026-06-22,457.0,457.0,4338516.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,457.0,0.0,False,ok,457.0,437.92,0.043569601753745024,22.76,13.43,66.67,1.08216206092183,0.7843880267178163,,0.0,0.1875,1.0218880267178163,paper_review_candidate,True,False,False,True,0.13343253968253976,0.29300588501584435,-0.15957334533330458,0.20901406017064317,0.9933267896002531,1493694141.635,0.48998234847077526,0.45027025829646344,0.15,True,0.75,found_relevant,1,0,10,Stocks To Watch Echo AI Theme. GE Vernova Among Five Stocks Near Buy Points.,0.0,0.75,matched ticker boundary 'TER' with narrative context 'stock',found_unrelated,1,0,10,1 Surging  Stock Worth Your Attention and 2 We Find Risky,0.0,0.0,no company/product/ticker match in title or snippet,TER 泰瑞达 stock catalyst earnings news,124,TER 泰瑞达 orders demand backlog guidance revenue customer contract,124,Stocks To Watch Echo AI Theme. GE Vernova Among Five Stocks Near Buy Points.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,REVERSAL_OVERRIDE,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=BEARISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,443.704042,483.59191599999997,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=Stocks To Watch Echo AI Theme. GE Vernova Among Five Stocks Near Buy Points. | matched ticker boundary 'TER' with narrative context 'stock'; business=UNRELATED: 1 Surging  Stock Worth Your Attention and 2 We Find Risky | no company/product/ticker match in title or snippet
SWK,史丹利百得,eastmoney_us,史丹利百得,6,7,2026-06-22,86.31,86.31,2060252.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,86.31,0.0,False,ok,86.31,86.75,-0.005072046109510064,1.49,0.66,0.0,0.5077777777777779,0.524578393969871,,0.0,0.425,0.999578393969871,paper_review_candidate,True,False,False,True,0.03216933747907191,0.15526703252576635,-0.12309769504669443,0.07127520768056517,0.5239622653480294,108478044.615,0.20155036668139809,0.20313271439817504,0.05,True,0.75,found_relevant,1,0,10,Stanley Black & Decker Stock: Is SWK Outperforming the Industrial Sector?,0.0,0.75,matched ticker boundary 'SWK' with narrative context 'stock',found_relevant,1,0,10,Stanley Black's Engineered Fastening Growth Picks Up: More Upside to Come?,0.0,0.75,matched ticker boundary 'SWK' with business context 'demand',SWK 史丹利百得 stock catalyst earnings news,124,SWK 史丹利百得 orders demand backlog guidance revenue customer contract,124,Stanley Black & Decker Stock: Is SWK Outperforming the Industrial Sector?; Stanley Black's Engineered Fastening Growth Picks Up: More Upside to Come?,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_relevant; quality=STRONG; risk=WATCH; panel=BULLISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,83.79889686,91.33220628000001,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=Stanley Black & Decker Stock: Is SWK Outperforming the Industrial Sector? | matched ticker boundary 'SWK' with narrative context 'stock'; business=Stanley Black's Engineered Fastening Growth Picks Up: More Upside to Come? | matched ticker boundary 'SWK' with business context 'demand'
SW,Smurfit WestRock plc,eastmoney_us,smurfit westrock,7,4,2026-06-22,45.39,45.39,6315710.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,45.39,0.0,False,ok,45.39,44.2,0.026923076923076827,1.32,0.36,0.0,0.9726666666666668,0.6999440602033451,,0.0,0.2375,0.9874440602033452,paper_review_candidate,True,False,False,True,0.04778393351800547,0.20270270270270263,-0.15491876918469716,0.11871087785750145,0.26918556693789,229311536.44,0.32792943118351087,0.2317070871891023,0.15,True,0.95,found_relevant,1,0,10,Smurfit Westrock Announces the Completion of Delisting from the LSE,0.0,0.95,matched company term 'smurfit westrock' with narrative context 'stock',found_unrelated,1,0,10,Smurfit Westrock Announces the Completion of Delisting from the LSE,0.0,0.0,matched company term 'smurfit westrock' but no business context term,SW smurfit westrock stock catalyst earnings news,124,SW smurfit westrock orders demand backlog guidance revenue customer contract,124,Smurfit Westrock Announces the Completion of Delisting from the LSE,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,REVERSAL_OVERRIDE,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,44.06942334,48.03115332,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=Smurfit Westrock Announces the Completion of Delisting from the LSE | matched company term 'smurfit westrock' with narrative context 'stock'; business=UNRELATED: Smurfit Westrock Announces the Completion of Delisting from the LSE | matched company term 'smurfit westrock' but no business context term
AAPL,苹果,eastmoney_us,苹果,8,9,2026-06-22,297.01,297.01,44879903.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,297.01,0.0,False,ok,297.01,298.01,-0.0033555920942249795,40.96,79.54,80.95,0.4010836277974087,0.4795632800837837,,0.0,0.425,0.9545632800837838,market_watchlist,True,False,False,True,0.020197162779514333,-0.026164792288271843,0.046361955067786176,-0.11015661713347302,0.0359875879311371,14881604428.86,0.46381263481340984,-0.02568478063189355,0.03,True,0.75,found_relevant,1,0,10,"Intel’s Surge on an Apple Chip Deal Means Investors Are Betting on Its Foundry, Says Bernstein’s Stacy Rasgon",0.0,0.75,matched ticker boundary 'AAPL' with narrative context 'stock',found_relevant,1,0,10,Tim Cook Warns Apple Product Price Hikes Are Unavoidable Due to Higher Chip Costs. What That Means for AAPL Stock.,0.0,0.75,matched ticker boundary 'AAPL' with business context 'customer',AAPL 苹果 stock catalyst earnings news,124,AAPL 苹果 orders demand backlog guidance revenue customer contract,124,"Intel’s Surge on an Apple Chip Deal Means Investors Are Betting on Its Foundry, Says Bernstein’s Stacy Rasgon; Tim Cook Warns Apple Product Price Hikes Are Unavoidable Due to Higher Chip Costs. What That Means for AAPL Stock.",Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,LOW_CONFIRMATION_BLOCK,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_relevant; quality=STRONG; risk=CLEAN; panel=BULLISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,288.36879106,314.29241788,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,"narrative=Intel’s Surge on an Apple Chip Deal Means Investors Are Betting on Its Foundry, Says Bernstein’s Stacy Rasgon | matched ticker boundary 'AAPL' with narrative context 'stock'; business=Tim Cook Warns Apple Product Price Hikes Are Unavoidable Due to Higher Chip Costs. What That Means for AAPL Stock. | matched ticker boundary 'AAPL' with business context 'customer'"
IP,国际纸业,eastmoney_us,国际纸业,9,8,2026-06-22,36.89,36.89,8203078.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,36.89,0.0,False,ok,36.89,36.82,0.0019011406844107182,1.32,0.4,-66.67,0.7172881355932207,0.49729205053198333,,0.0,0.1875,0.7347920505319834,market_watchlist,True,False,False,True,0.020470262793914396,0.18856222311719684,-0.16809196032328244,0.10457039827199566,0.4917318273836522,193091721.24,0.1602923986407651,0.22686250292518584,0.2,True,0.75,found_relevant,1,0,10,3 Mid-Cap Stocks We’re Skeptical Of,0.0,0.75,matched ticker boundary 'IP' with narrative context 'stock',found_unrelated,1,0,10,Is International Paper Stock Underperforming the Nasdaq?,0.0,0.0,no company/product/ticker match in title or snippet,IP 国际纸业 stock catalyst earnings news,124,IP 国际纸业 orders demand backlog guidance revenue customer contract,124,3 Mid-Cap Stocks We’re Skeptical Of,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,MOMENTUM_EXHAUSTION_HARD_BLOCK,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=NEUTRAL,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,35.816722340000005,39.03655531999999,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=3 Mid-Cap Stocks We’re Skeptical Of | matched ticker boundary 'IP' with narrative context 'stock'; business=UNRELATED: Is International Paper Stock Underperforming the Nasdaq? | no company/product/ticker match in title or snippet
TSLA,特斯拉,eastmoney_us,特斯拉,10,10,2026-06-22,405.05,405.05,47819484.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,405.05,0.0,False,ok,405.05,400.49,0.011386052086194365,18.09,0.57,-20.0,0.42233415233415245,0.3759463735162601,,0.0,0.0,0.4259463735162601,market_watchlist,True,False,False,True,-0.0033954186452771484,-0.030633002273543153,0.027237583628266004,-0.11462482711874433,-0.008107382499199622,19166296781.525,0.4852777670031963,-0.03057112889002993,0.06,True,0.0,found_unrelated,1,0,10,Tesla headed for its biggest fight in Europe yet,0.0,0.0,matched ticker boundary 'TSLA' but no narrative context term,found_unrelated,1,0,10,Tesla headed for its biggest fight in Europe yet,0.0,0.0,matched ticker boundary 'TSLA' but no business context term,TSLA 特斯拉 stock catalyst earnings news,124,TSLA 特斯拉 orders demand backlog guidance revenue customer contract,124,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_unrelated; business=found_unrelated; quality=STRONG; risk=WATCH; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,393.26547530000005,428.61904939999994,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=UNRELATED: Tesla headed for its biggest fight in Europe yet | matched ticker boundary 'TSLA' but no narrative context term; business=UNRELATED: Tesla headed for its biggest fight in Europe yet | matched ticker boundary 'TSLA' but no business context term
